City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
285,Kirakira,SB,2020-05-07 15:45:18,-10.45,161.92,79.12,82,94,5.44
286,Houma,US,2020-05-07 15:45:18,29.6,-90.72,72.0,40,0,5.99
287,Tazovskiy,RU,2020-05-07 15:45:19,67.47,78.7,29.05,99,100,10.49
288,Fallon,US,2020-05-07 15:45:19,39.47,-118.78,55.0,23,1,10.18
289,Avera,US,2020-05-07 15:45:19,33.19,-82.53,63.0,33,1,9.17
290,Viedma,AR,2020-05-07 15:44:39,-40.81,-63.0,64.33,34,75,16.53
291,Udachnyy,RU,2020-05-07 15:45:19,66.42,112.4,17.6,67,92,11.18
292,Tivaouane,SN,2020-05-07 15:45:19,14.95,-16.81,86.0,42,21,16.11
293,Padang,ID,2020-05-07 15:45:19,-0.95,100.35,80.47,81,100,10.25
294,Badhni Kalan,IN,2020-05-07 15:45:19,30.68,75.28,87.46,25,78,6.76
295,Zhigansk,RU,2020-05-07 15:45:19,66.77,123.37,16.88,94,100,29.73
296,Kushima,JP,2020-05-07 15:45:19,31.46,131.23,60.01,55,4,5.01
297,Joao Camara,BR,2020-05-07 15:45:20,-5.54,-35.82,87.8,66,40,12.75
298,Atambua,ID,2020-05-07 15:45:20,-9.11,124.89,71.58,91,18,5.82
299,Chase,CA,2020-05-07 15:45:20,50.82,-119.69,51.8,53,40,12.75
300,Georgetown,MY,2020-05-07 15:44:09,5.41,100.34,84.2,94,40,2.21
301,Camabatela,AO,2020-05-07 15:45:20,-8.19,15.38,73.62,66,30,4.9
302,Jalu,LY,2020-05-07 15:45:20,29.03,21.55,95.4,8,20,4.12
303,Marzuq,YE,2020-05-07 15:45:20,14.4,46.47,79.84,48,99,10.71
